Date,isotope
1975-11-03,-77.86237
1975-11-04,-78.74085
1975-11-20,-81.96193
1975-11-28,-85.06589
1975-12-05,-81.72767
1975-12-11,-78.79941
1975-12-19,-78.85798
1975-12-19,-79.61933
1975-12-27,-79.09224
1975-12-31,-81.37628
1976-01-09,-84.65593
1976-01-13,-80.79063
1976-01-21,-80.38067
1976-01-28,-79.5022
1976-02-06,-78.85798
1976-02-10,-79.97072
1976-02-19,-81.37628
1976-02-27,-80.55637
1976-03-03,-80.26354
1976-03-12,-80.20498
1976-03-20,-81.8448
1976-03-23,-80.32211
1976-03-26,-85.59297
1976-04-01,-83.66032
1976-04-02,-82.72328
1976-04-04,-81.8448
1976-04-04,-81.02489
1976-04-08,-79.91215
1976-04-16,-80.6735
1976-04-18,-81.78624
1976-04-20,-78.62372
1976-04-29,-79.67789
1976-04-29,-78.44802
1976-05-01,-80.26354
1976-05-08,-79.85359
1976-05-13,-77.62811
1976-05-14,-77.15959
1976-05-14,-73.29429
1976-05-18,-74.87555
1976-05-22,-60.58565
1976-05-22,-75.57833
1976-05-27,-72.70864
1976-05-28,-71.94729
1976-05-31,-74.46559
1976-06-04,-75.51977
1976-06-11,-76.22255
1976-06-15,-75.10981
1976-06-21,-75.10981
1976-07-01,-74.81698
1976-07-07,-74.17277
1976-07-13,-74.23133
1976-07-14,-71.47877
1976-07-21,-71.71303
1976-07-26,-72.53294
1976-07-31,-68.19912
1976-08-04,-68.08199
1976-08-04,-73.58712
1976-08-07,-69.89751
1976-08-09,-68.02343
1976-08-13,-71.94729
1976-08-15,-69.72182
1976-08-19,-72.70864
1976-08-24,-73.06003
1976-08-25,-73.64568
1976-08-31,-71.18594
1976-09-07,-74.1142
1976-09-14,-74.40703
1976-09-21,-74.93411
1976-09-27,-75.57833
1976-10-04,-76.10542
1976-10-12,-83.60176
1976-10-13,-77.45242
1976-10-18,-79.97072
1976-10-20,-75.51977
1976-10-28,-77.74524
1976-10-29,-80.20498
1976-11-01,-77.80381
1976-11-04,-81.96193
1976-11-06,-78.1552
1976-11-13,-81.31772
1976-11-13,-87.75988
1976-11-17,-78.21376
1976-11-19,-79.97072
1976-11-25,-78.97511
1976-11-30,-80.84919
1976-12-01,-77.68668
1976-12-06,-87.93558
1976-12-12,-80.14641
1976-12-20,-82.72328
1976-12-22,-79.44363
1976-12-30,-82.95754
1976-12-31,-81.31772
1977-01-03,-80.26354
1977-01-05,-81.25915
1977-01-10,-81.20059
1977-01-13,-82.19619
1977-01-23,-86.06149
1977-01-25,-82.37189
1977-01-26,-84.18741
1977-01-26,-93.49927
1977-01-30,-83.07467
1977-01-30,-82.07906
1977-01-31,-93.32357
1977-02-04,-95.13909
1977-02-08,-93.4407
1977-02-09,-86.58858
1977-02-09,-90.45388
1977-02-11,-83.83602
1977-02-19,-93.08931
1977-02-19,-101.75695
1977-02-22,-93.90922
1977-02-25,-85.24158
1977-03-01,-85.8858
1977-03-03,-86.58858
1977-03-09,-91.91801
1977-03-11,-88.16984
1977-03-12,-84.89019
1977-03-18,-86.99854
1977-03-18,-90.27818
1977-03-22,-89.98536
1977-03-28,-85.94436
1977-03-30,-90.27818
1977-03-30,-88.75549
1977-04-02,-91.27379
1977-04-07,-87.99414
1977-04-09,-93.90922
1977-04-12,-85.00732
1977-04-13,-89.80966
1977-04-15,-87.87701
1977-04-20,-88.46266
1977-04-22,-89.10688
1977-04-26,-87.58419
1977-04-29,-96.48609
1977-05-01,-86.88141
1977-05-08,-86.17862
1977-05-09,-84.83163
1977-05-16,-85.76867
1977-05-20,-87.2328
1977-05-28,-87.81845
1977-06-03,-85.76867
