Date,isotope
1971-02-15,-104.3
1971-03-15,-78
1971-04-15,-82.7
1971-05-15,-72.6
1971-06-15,-77.1
1971-07-15,-56.9
1971-08-15,-32.4
1971-09-15,-75.7
1971-10-15,-71.4
1971-11-15,-112.3
1971-12-15,-66.6
1972-01-15,-86.5
1972-02-15,-82.5
1972-03-15,-118.2
1972-04-15,-82.9
1972-05-15,-56.5
1972-06-15,-76
1972-07-15,-67.9
1972-08-15,-68.9
1972-09-15,-103.2
1972-10-15,-100.2
1972-11-15,-97.8
1972-12-15,-102.1
1973-01-15,-130.9
1973-02-15,-104.6
1973-03-15,-76.8
1973-04-15,-93.9
1973-05-15,-57.9
1973-06-15,-61.7
1973-07-15,-61
1973-08-15,-50.9
1973-09-15,-50.1
1973-10-15,-82
1973-11-15,-84.3
1973-12-15,-74.7
1974-01-15,-85.7
1974-02-15,-108.5
1974-03-15,-108.9
1974-04-15,-98.3
1974-05-15,-85.6
1974-06-15,-60.3
1974-07-15,-53.1
1974-08-15,-35.7
1974-09-15,-77.4
1974-10-15,-106.7
1974-11-15,-100.4
1974-12-15,-75.1
1975-01-15,-94.3
1975-02-15,-117.4
1975-03-15,-110.2
1975-04-15,-110.2
1975-05-15,-62
1975-06-15,-69.4
1975-07-15,-48.4
1975-08-15,-76.2
1975-09-15,-63.6
1975-10-15,-104.6
1975-11-15,-129.6
1975-12-15,-118.3
1976-01-15,-66.4
1976-02-15,-109.5
1976-03-15,-87.7
1976-04-15,-95.9
1976-05-15,-52
1976-06-15,-51
1976-07-15,-76.1
1976-08-15,-54.2
1976-09-15,-87.2
1976-10-15,-130
1976-11-15,-102.7
1976-12-15,-122.5
1977-01-15,-156.7
1977-02-15,-117.9
1977-03-15,-109.2
1977-04-15,-72.4
1977-05-15,-70.3
1977-06-15,-59.4
1977-07-15,-61.3
1977-08-15,-68.2
1977-09-15,-56.9
1977-10-15,-60.5
1977-11-15,-88.5
1977-12-15,-87.8
1978-01-15,-102.5
1978-02-15,-125.9
1978-03-15,-98
1978-04-15,-106.4
1978-05-15,-81.2
1978-06-15,-78.7
1978-07-15,-52.5
1978-08-15,-57.7
1978-09-15,-61.8
1978-10-15,-75.7
1978-11-15,-103.8
1978-12-15,-110.4
1979-01-15,-128.7
1979-02-15,-104.3
1979-03-15,-115
1979-04-15,-126.5
1979-05-15,-81.9
1979-06-15,-70.5
1979-07-15,-43.9
1979-08-15,-63.4
1979-09-15,-79.2
1979-10-15,-78.2
1979-11-15,-80.2
1979-12-15,-98.8
1980-01-15,-112.7
1980-02-15,-76.3
1980-03-15,-89.3
1980-04-15,-86.8
1980-05-15,-92.8
1980-06-15,-61
1980-07-15,-73.6
1980-08-15,-33.9
1980-09-15,-46.6
1980-10-15,-115.8
1980-11-15,-96.2
1980-12-15,-110.9
1981-01-15,-90.9
1981-02-15,-99.6
1981-03-15,-88.2
1981-04-15,-81.3
1981-05-15,-89.4
1981-06-15,-61.9
1981-07-15,-84.3
1981-08-15,-47.6
1981-09-15,-74.1
1981-10-15,-92
1981-11-15,-93.5
1981-12-15,-124.5
1982-01-15,-92.9
1982-02-15,-107.2
1982-03-15,-98.7
1982-04-15,-66.5
1982-05-15,-63.5
1982-06-15,-57.8
1982-07-15,-45.5
1982-08-15,-51.8
1982-09-15,-62.8
1982-10-15,-101.4
1982-11-15,-124.3
1982-12-15,-126.2
1983-01-15,-77.4
1983-02-15,-121.1
1983-03-15,-105.9
1983-04-15,-87.4
1983-05-15,-80.3
1983-06-15,-47.8
1983-07-15,-47.3
1983-08-15,-50.2
1983-09-15,-57.4
1983-10-15,-53.7
1983-11-15,-101.7
1983-12-15,-105.7
1984-01-15,-91.2
1984-02-15,-102.4
1984-03-15,-98.5
1984-04-15,-110.2
1984-05-15,-100.3
1984-06-15,-65.6
1984-07-15,-57.7
1984-08-15,-56.5
1984-09-15,-92.5
1984-10-15,-109.9
1984-11-15,-106.8
1984-12-15,-120.4
1985-01-15,-134.7
1985-02-15,-92.8
1985-03-15,-153.9
1985-04-15,-84.7
1985-05-15,-93.4
1985-06-15,-70.5
1985-07-15,-44.3
1985-08-15,-61.1
1985-09-15,-41.8
1985-10-15,-36.1
1985-11-15,-109.7
1985-12-15,-105.8
1986-01-15,-86.7
1986-02-15,-152
1986-03-15,-84.6
1986-04-15,-99.4
1986-05-15,-61.7
1986-06-15,-78.3
1986-07-15,-45.9
1986-08-15,-41.6
1986-09-15,-53.6
1986-10-15,-72
1986-11-15,-94.3
1986-12-15,-93.1
1987-01-15,-110.3
1987-02-15,-127.9
1987-03-15,-84.5
1987-04-15,-84.2
1987-05-15,-78
1987-06-15,-71.3
1987-07-15,-57.1
1987-08-15,-40.4
1987-09-15,-58.8
1987-10-15,-54.2
1987-11-15,-83.8
1987-12-15,-107.1
1988-01-15,-88.2
1988-02-15,-122.6
1988-03-15,-94.4
1988-04-15,-96.2
1988-05-15,-62.7
1988-06-15,-82.4
1988-07-15,-47.1
1988-08-15,-45.5
1988-09-15,-66.6
1988-10-15,-53.3
1988-11-15,-104.6
1988-12-15,-82.7
