Date,H3
1953-08-14,13
1953-09-14,17
1953-10-14,16
1953-11-14,25
1953-12-14,18
1954-01-14,18
1954-03-15,539
1954-04-15,470
1954-05-14,580
1954-06-14,201
1954-07-14,151
1954-08-14,87
1954-09-14,43
1954-10-14,21
1954-11-14,27
1954-12-14,18
1955-01-14,15
1955-02-14,23
1955-03-15,30
1955-04-15,33
1955-05-14,60
1955-06-14,64
1955-07-14,24
1955-08-14,18
1955-09-14,32
1955-10-14,15
1955-11-14,16
1955-12-14,20
1956-01-14,43
1956-02-14,42
1956-03-15,70
1956-04-14,71
1956-05-15,133
1956-06-15,147
1956-07-14,147
1956-08-14,293
1956-09-15,74
1956-10-14,53
1956-11-14,32
1956-12-15,30
1957-01-14,65
1957-02-14,90
1957-03-15,64
1957-04-15,60
1957-05-14,104
1957-06-14,92
1957-07-14,117
1957-08-14,97
1957-09-14,84
1957-10-14,62
1957-11-14,47
1957-12-14,55
1958-01-14,158
1958-02-14,178
1958-03-15,178
1958-04-15,253
1958-05-14,370
1958-06-14,552
1958-07-14,519
1958-08-14,957
1958-09-14,214
1958-10-14,91
1958-11-14,153
1958-12-14,389
1959-01-14,474
1959-02-14,573
1959-03-15,809
1959-04-15,646
1959-05-14,421
1959-06-14,458
1959-07-14,378
1959-08-14,169
1959-09-14,82
1959-10-14,66
1959-11-14,69
1959-12-14,64
1960-01-14,71
1960-02-14,86
1960-03-15,60
1960-04-14,93
1960-05-15,118
1960-06-15,162
1960-07-14,190
1960-08-14,121
1960-09-15,86
1960-10-14,67
1960-11-14,34
1960-12-15,53
1961-01-14,62
1961-02-14,34
1961-03-15,33
1961-04-15,83
1961-05-14,75
1961-06-14,46
1961-07-14,63
1961-08-14,64
1961-09-14,33
1961-10-14,48
1961-11-14,88
1961-12-14,83
1962-01-14,173
1962-02-14,659
1962-03-15,483
1962-04-15,559
1962-05-14,734
1962-06-14,850
1962-07-14,600
1962-08-14,352
1962-09-14,219
1962-10-14,268
1962-11-14,349
1962-12-14,448
1963-01-14,660
1963-02-14,1173
1963-03-15,1265
1963-04-15,2689
1963-05-14,2371
1963-06-14,4145
1963-07-14,3845
1963-08-14,2079
1963-09-14,2999
1963-10-14,947
1963-11-14,632
1963-12-14,1097
1964-01-14,851
1964-02-14,1064
1964-03-15,1313
1964-04-14,1826
1964-05-15,3649
1964-06-15,1453
1964-07-14,1539
1964-08-14,1676
1964-09-15,544
1964-10-14,489
1964-11-14,147
1964-12-15,378
1965-01-14,278
1965-02-14,396
1965-03-15,354
1965-04-15,414
1965-05-14,774
1965-06-14,944
1965-07-14,672
1965-08-14,578
1965-09-14,365
1965-10-14,241
1965-11-14,234
1965-12-14,131
1966-01-14,171
1966-02-14,145
1966-03-15,171
1966-04-15,384
1966-05-14,708
1966-06-14,661
1966-07-14,787
1966-08-14,763
1966-09-14,314
1966-10-14,179
1966-11-14,80
1966-12-14,309
1967-01-14,120
1967-02-14,141
1967-03-15,145
1967-04-15,189
