Date,H3,error
1980-01-25,76.80387,10
1980-05-20,56.94915,10
1980-11-09,55.30266,10
1981-01-14,55.30266,10
1981-01-14,50.75061,10
1981-05-01,58.8862,10
1981-09-01,52.7845,10
1981-10-04,51.23487,10
1981-11-23,50.75061,10
1982-02-13,50.3632,10
1982-05-31,44.64891,10
1982-08-21,36.31961,10
1982-10-26,39.03148,10
1983-02-02,32.73608,10
1983-03-07,25.27845,10
1983-05-20,25.85956,10
1983-07-08,30.41162,10
1983-10-07,40.96852,10
1983-11-09,36.12591,10
1984-03-19,39.8063,10
1984-06-18,33.22034,10
1984-08-23,37.7724,10
1984-11-05,33.5109,10
1985-01-10,36.41646,10
1985-03-09,35.15738,10
1985-05-14,33.5109,10
1985-12-30,27.60291,10
1986-02-18,28.95884,3
1986-05-03,26.34383,3
1986-05-19,29.4431,3
1986-06-21,28.57143,3
1986-07-16,31.76755,3
1986-09-03,26.15012,3
1986-09-19,24.50363,3
1986-12-03,28.47458,3
1988-02-12,23.53511,3
1989-01-15,22.27603,3
1989-04-24,21.01695,3
1989-07-23,21.88862,3
1989-10-14,20.9201,3
1990-01-04,20.43584,3
1991-08-03,10.07264,1
1992-08-08,9.00726,1
1993-08-30,8.42615,1
1994-05-20,8.13559,1
1996-05-30,9.97579,1
1997-08-01,9.97579,1
1998-04-22,11.62228,1
1999-05-05,11.23487,1
2000-07-15,10.65375,1
2001-04-13,9.20097,1
2001-06-09,8.81356,1
2003-06-28,9.58838,1
2005-09-13,9.49153,1
2006-02-08,9.20097,1
2006-05-09,9.10412,1
