Date,isotope
1982-12-27,-10.01
1982-12-28,-9.10
1982-12-28,-9.21
1982-12-29,-8.97
1983-01-08,-9.36
1983-01-09,-9.43
1983-01-10,-9.27
1983-01-13,-9.27
1983-01-15,-9.13
1983-01-18,-8.78
1983-01-18,-9.32
1983-01-19,-9.38
1983-01-23,-9.19
1983-01-27,-9.27
1983-02-01,-9.37
1983-02-05,-9.41
1983-02-10,-9.30
1983-02-17,-9.33
1983-02-21,-9.43
1983-02-22,-9.29
1983-02-22,-9.63
1983-02-23,-9.07
1983-02-23,-9.41
1983-02-23,-9.53
1983-02-26,-9.27
1983-02-28,-9.34
1983-03-02,-9.17
1983-03-04,-9.03
1983-03-05,-9.22
1983-03-08,-8.99
1983-03-10,-9.26
1983-03-14,-9.28
1983-03-16,-9.63
1983-03-18,-9.20
1983-03-18,-9.24
1983-03-21,-9.36
1983-03-24,-8.90
1983-03-24,-9.41
1983-03-24,-9.73
1983-03-27,-9.17
1983-03-27,-9.33
1983-03-27,-9.46
1983-03-29,-9.39
1983-03-29,-9.85
1983-04-01,-9.68
1983-04-03,-9.42
1983-04-03,-9.48
1983-04-04,-8.92
1983-04-05,-9.32
1983-04-06,-9.38
1983-04-09,-8.98
1983-04-09,-9.16
1983-04-09,-9.34
1983-04-10,-9.07
1983-04-12,-9.45
1983-04-15,-9.23
1983-04-17,-9.10
1983-04-17,-9.64
1983-04-23,-9.32
1983-04-26,-9.10
1983-04-27,-9.16
1983-04-28,-9.05
1983-04-30,-9.13
1983-05-04,-9.21
1983-05-04,-9.41
1983-05-09,-9.19
1983-05-09,-9.31
1983-05-13,-9.07
1983-05-19,-9.09
1983-05-19,-9.25
1983-05-25,-9.36
1983-05-27,-9.20
1983-05-28,-9.14
1983-05-31,-8.41
1983-06-02,-9.29
1983-06-07,-9.10
1983-06-08,-9.04
1983-06-08,-9.20
1983-06-08,-9.34
1983-06-11,-8.91
1983-06-11,-9.28
1983-06-13,-9.15
1983-06-14,-8.97
1983-06-16,-9.32
1983-06-20,-9.27
1983-06-20,-9.44
1983-06-26,-9.13
1983-06-27,-9.10
1983-06-30,-8.95
1983-06-30,-9.41
1983-07-01,-8.46
1983-07-02,-8.82
1983-07-02,-9.21
1983-07-05,-8.88
1983-07-05,-9.18
1983-07-06,-8.14
1983-07-08,-9.12
1983-07-10,-8.22
1983-07-10,-8.29
1983-07-11,-8.85
1983-07-15,-9.10
1983-07-16,-8.44
1983-07-17,-8.79
1983-07-21,-8.88
1983-07-23,-8.98
1983-07-24,-9.03
1983-07-27,-8.83
1983-07-27,-9.32
1983-08-01,-9.19
1983-08-07,-9.07
1983-08-09,-9.32
1983-08-14,-9.38
1983-08-15,-9.20
1983-08-25,-9.25
1983-08-25,-9.29
1983-08-28,-9.12
1983-08-29,-8.97
1983-08-31,-9.09
1983-08-31,-9.23
1983-09-03,-9.18
1983-09-08,-8.98
1983-09-08,-9.04
1983-09-13,-9.03
1983-09-15,-9.19
1983-09-19,-8.97
1983-09-19,-9.00
1983-09-20,-8.71
1983-09-20,-8.89
1983-09-23,-8.13
1983-09-23,-8.54
1983-09-25,-8.93
1983-09-29,-9.06
1983-09-29,-9.43
1983-10-01,-8.11
1983-10-01,-8.14
1983-10-02,-8.50
1983-10-04,-8.62
1983-10-05,-8.68
1983-10-08,-8.80
1983-10-10,-8.96
1983-10-12,-9.01
1983-10-13,-8.89
1983-10-15,-8.77
1983-10-15,-8.83
1983-10-19,-9.25
1983-10-24,-8.97
1983-10-26,-9.20
1983-10-27,-9.25
1983-10-31,-8.56
1983-11-03,-9.35
1983-11-07,-9.44
1983-11-08,-8.46
1983-11-08,-9.39
1983-11-11,-9.53
1983-11-12,-8.98
1983-11-14,-9.22
1983-11-15,-9.26
1983-11-19,-8.77
1983-11-19,-9.17
