Date,H3
1972-01-09,236.4532
1972-04-14,174.01478
1972-05-16,198.76847
1972-06-10,202.0936
1972-08-06,157.0197
1972-08-12,199.87685
1972-09-09,205.04926
1972-10-02,191.00985
1972-11-02,131.89655
1972-11-13,188.42365
1972-12-09,175.12315
1973-01-01,190.64039
1973-05-11,161.08374
1974-02-15,141.133
1974-03-21,142.9803
1974-04-15,129.31034
1975-10-08,154.80296
1975-11-08,146.67488
1976-01-20,155.91133
1976-02-06,160.71429
1976-03-14,142.24138
1976-04-17,156.28079
1976-05-10,157.38916
1976-06-22,160.34483
1976-07-11,155.17241
1976-08-14,156.28079
1976-09-15,159.97537
1976-10-10,129.31034
1976-10-30,150
1976-12-17,145.5665
1977-01-01,134.48276
1977-02-09,125.61576
1977-03-07,118.59606
1977-04-04,108.25123
1977-05-11,120.44335
1977-07-12,138.5468
1977-08-15,133.37438
1977-09-06,116.37931
1977-10-13,131.89655
1977-11-11,134.1133
1977-12-15,125.98522
1978-01-03,128.20197
1978-02-03,128.94089
1978-03-12,111.94581
1978-04-12,113.42365
1978-05-08,121.55172
1978-06-02,126.72414
1978-07-09,125.24631
1978-08-04,111.2069
1978-09-06,113.7931
1978-10-10,118.59606
